bacteria,filter.D
Acidovorax sp. KKS102,FALSE
Acidovorax sp. RAC01,FALSE
Acidovorax sp. T1,FALSE
Acidovorax temperans,FALSE
Aciduliprofundum boonei,FALSE
Aciduliprofundum sp. MAR08-339,FALSE
Acinetobacter baumannii,FALSE
Acinetobacter baylyi,FALSE
Acinetobacter bereziniae,FALSE
Acinetobacter calcoaceticus,FALSE
Acinetobacter chinensis,FALSE
Acinetobacter cumulans,FALSE
Acinetobacter defluvii,FALSE
Acinetobacter dispersus,FALSE
Acinetobacter equi,FALSE
Acinetobacter guillouiae,FALSE
Acinetobacter gyllenbergii,FALSE
Acinetobacter haemolyticus,FALSE
Acinetobacter indicus,FALSE
Acinetobacter johnsonii,FALSE
Acinetobacter junii,FALSE
Acinetobacter lactucae,FALSE
Acinetobacter lanii,FALSE
Acinetobacter larvae,FALSE
Acinetobacter lwoffii,FALSE
Acinetobacter nosocomialis,FALSE
Acinetobacter oleivorans,FALSE
Acinetobacter piscicola,FALSE
Acinetobacter pittii,FALSE
Acinetobacter radioresistens,FALSE
Acinetobacter schindleri,FALSE
Acinetobacter seifertii,FALSE
Acinetobacter shaoyimingii,FALSE
Acinetobacter soli,FALSE
Acinetobacter sp. 10FS3-1,FALSE
Acinetobacter sp. ACNIH1,FALSE
Acinetobacter sp. ACNIH2,FALSE
Acinetobacter sp. C16S1,FALSE
Acinetobacter sp. FDAARGOS_724,FALSE
Acinetobacter sp. LoGeW2-3,FALSE
Acinetobacter sp. Marseille-Q1620,FALSE
Acinetobacter sp. MYb10,FALSE
Acinetobacter sp. NCu2D-2,FALSE
Acinetobacter sp. NEB 394,FALSE
Acinetobacter sp. NEB149,FALSE
Acinetobacter sp. SWBY1,FALSE
Acinetobacter sp. TGL-Y2,FALSE
Acinetobacter sp. TTH0-4,FALSE
Acinetobacter sp. WCHA45,FALSE
Acinetobacter sp. WCHA55,FALSE
Acinetobacter sp. WCHAc010034,FALSE
Acinetobacter sp. WCHAc010052,FALSE
Acinetobacter sp. YH12138,FALSE
Acinetobacter tandoii,FALSE
Acinetobacter towneri,FALSE
Acinetobacter ursingii,FALSE
Acinetobacter venetianus,FALSE
Acinetobacter wanghuae,FALSE
Acinetobacter wuhouensis,FALSE
Actinoalloteichus fjordicus,FALSE
Actinoalloteichus hoggarensis,FALSE
Actinoalloteichus hymeniacidonis,FALSE
Actinoalloteichus sp. GBA129-24,FALSE
Actinobacillus delphinicola,FALSE
Actinobacillus equuli,FALSE
Actinobacillus indolicus,FALSE
Actinobacillus lignieresii,FALSE
Actinobacillus pleuropneumoniae,FALSE
Actinobacillus porcitonsillarum,FALSE
Actinobacillus succinogenes,FALSE
Actinobacillus suis,FALSE
Actinobaculum sp. 313,TRUE
Actinobaculum sp. oral taxon 183,TRUE
Actinomadura amylolytica,FALSE
Actinomadura sp. NAK00032,FALSE
Actinomadura sp. WMMA1423,FALSE
Actinomadura sp. WMMB 499,FALSE
Actinomadura verrucosospora,FALSE
Actinomarinicola tropica,FALSE
Actinomyces dentalis,TRUE
Actinomyces gaoshouyii,TRUE
Actinomyces gerencseriae,TRUE
Actinomyces graevenitzii,TRUE
Actinomyces howellii,TRUE
Actinomyces israelii,TRUE
Actinomyces johnsonii,TRUE
Actinomyces massiliensis,TRUE
Actinomyces naeslundii,TRUE
Actinomyces oricola,TRUE
Actinomyces oris,TRUE
Actinomyces pacaensis,TRUE
Actinomyces qiguomingii,TRUE
Actinomyces radicidentis,TRUE
Actinomyces slackii,TRUE
Actinomyces sp. 2129,TRUE
Actinomyces sp. 299,TRUE
Actinomyces sp. 432,TRUE
Actinomyces sp. Chiba101,TRUE
Actinomyces sp. dk561,TRUE
Actinomyces sp. oral taxon 169,TRUE
Actinomyces sp. oral taxon 170,TRUE
Actinomyces sp. oral taxon 171,TRUE
Actinomyces sp. oral taxon 172,TRUE
Actinomyces sp. oral taxon 175,TRUE
Actinomyces sp. oral taxon 178,TRUE
Actinomyces sp. oral taxon 180,TRUE
Actinomyces sp. oral taxon 181,TRUE
Actinomyces sp. oral taxon 414,TRUE
Actinomyces sp. oral taxon 448,TRUE
Actinomyces sp. oral taxon 848,TRUE
Actinomyces sp. oral taxon 849,TRUE
Actinomyces sp. oral taxon 877,TRUE
Actinomyces sp. oral taxon 897,TRUE
Actinomyces sp. Z16,TRUE
Actinomyces sp. zg-325,TRUE
Actinomyces sp. zg-332,FALSE
Actinomyces sp. zg-993,TRUE
Actinomyces sp. ZJ34,TRUE
Actinomyces sp. ZJ750,TRUE
Actinomyces tangfeifanii,FALSE
Actinomyces timonensis,TRUE
Actinomyces viscosus,TRUE
Actinoplanes derwentensis,FALSE
Actinoplanes friuliensis,FALSE
Actinoplanes missouriensis,FALSE
Actinoplanes sp. N902-109,FALSE
Actinoplanes sp. OR16,FALSE
Actinoplanes teichomyceticus,FALSE
Actinopolymorpha singaporensis,FALSE
Actinopolyspora erythraea,FALSE
Actinosynnema mirum,FALSE
Actinosynnema pretiosum,FALSE
Actinotalea sp. JY-7876,FALSE
Actinotignum schaalii,FALSE
Acutalibacter muris,FALSE
Adhaeribacter sp. KUDC8001,FALSE
Adhaeribacter swui,FALSE
Adlercreutzia equolifaciens,FALSE
Adlercreutzia sp. 8CFCBH1,FALSE
Advenella kashmirensis,FALSE
Advenella mimigardefordensis,FALSE
Aequorivita sp. H23M31,FALSE
Aequorivita sublithincola,FALSE
Aeribacillus pallidus,FALSE
Aerococcus christensenii,FALSE
Aerococcus sanguinicola,FALSE
Aerococcus urinae,FALSE
Aerococcus urinaeequi,FALSE
Aerococcus urinaehominis,FALSE
Aeromicrobium choanae,FALSE
Aeromicrobium erythreum,FALSE
Aeromicrobium marinum,FALSE
Aeromicrobium sp. 592,FALSE
Aeromicrobium sp. A1-2,FALSE
Aeromicrobium sp. MF47,FALSE
Aeromicrobium sp. zg-629,FALSE
Aeromonas caviae,FALSE
Aeromonas dhakensis,FALSE
Aeromonas encheleia,FALSE
Aeromonas hydrophila,FALSE
Aeromonas jandaei,FALSE
Aeromonas media,FALSE
Aeromonas rivipollensis,FALSE
Aeromonas salmonicida,FALSE
Aeromonas schubertii,FALSE
Aeromonas simiae,FALSE
Aeromonas sp. 1805,FALSE
Aeromonas sp. 2692-1,FALSE
Aeromonas sp. ASNIH1,FALSE
Aeromonas sp. ASNIH2,FALSE
Aeromonas sp. ASNIH3,FALSE
Aeromonas sp. ASNIH4,FALSE
Aeromonas sp. ASNIH5,FALSE
Aeromonas sp. ASNIH7,FALSE
Aeromonas sp. CA23,FALSE
Aeromonas sp. CU5,FALSE
Aeromonas sp. WP2-W18-CRE-05,FALSE
Aeromonas veronii,FALSE
Aeropyrum camini,FALSE
Aerosticca soli,FALSE
Afipia broomeae,FALSE
Afipia sp. GAS231,FALSE
Agarilytica rhodophyticola,FALSE
Agarivorans gilvus,FALSE
Aggregatibacter actinomycetemcomitans,TRUE
Aggregatibacter aphrophilus,TRUE
Aggregatibacter segnis,TRUE
Aggregatibacter sp. oral taxon 458,TRUE
Agrobacterium fabrum,FALSE
Agrobacterium larrymoorei,FALSE
Agrobacterium rhizogenes,FALSE
Agrobacterium sp. 33MFTa1.1,FALSE
Agrobacterium sp. CGMCC 11546,FALSE
Agrobacterium sp. H13-3,FALSE
Agrobacterium sp. MA01,FALSE
Agrobacterium sp. T29,FALSE
Agrobacterium tumefaciens,FALSE
Agrobacterium vitis,FALSE
Agrococcus carbonis,FALSE
Agrococcus jejuensis,FALSE
Agrococcus sp. SGAir0287,FALSE
Agromyces aureus,FALSE
Agromyces flavus,FALSE
Agromyces protaetiae,FALSE
Agromyces sp. HY052,FALSE
Agromyces sp. KACC 19306,FALSE
Agromyces sp. LHK192,FALSE
Agromyces sp. MF30-A,FALSE
Ahniella affigens,FALSE
Akkermansia glycaniphila,FALSE
Akkermansia muciniphila,FALSE
Alcaligenes aquatilis,FALSE
Alcaligenes faecalis,FALSE
Alcanivorax dieselolei,FALSE
Alcanivorax pacificus,FALSE
Alcanivorax sp. N3-2A,FALSE
Alcanivorax sp. NBRC 101098,FALSE
Alcanivorax xenomutans,FALSE
Algibacter alginicilyticus,FALSE
Algibacter sp. L1A34,FALSE
Algibacter sp. L3A6,FALSE
Algicoccus marinus,FALSE
Algoriphagus machipongonensis,FALSE
Algoriphagus sanaruensis,FALSE
Algoriphagus sp. Y33,FALSE
Aliarcobacter faecis,FALSE
Alicycliphilus denitrificans,FALSE
Alicyclobacillus acidocaldarius,FALSE
Alienimonas californiensis,FALSE
Aliivibrio fischeri,FALSE
Aliivibrio salmonicida,FALSE
Aliivibrio wodanis,FALSE
Alistipes communis,FALSE
Alistipes dispar,FALSE
Alistipes finegoldii,FALSE
Alistipes indistinctus,FALSE
Alistipes megaguti,FALSE
Alistipes onderdonkii,TRUE
Alistipes shahii,FALSE
Alistipes sp. dk3624,FALSE
Alkalihalobacillus clausii,FALSE
Alkalihalobacillus halodurans,FALSE
Alkalihalobacillus krulwichiae,FALSE
Alkalihalobacillus lehensis,FALSE
Alkalihalobacillus pseudofirmus,FALSE
Alkalilimnicola ehrlichii,FALSE
Alkaliphilus metalliredigens,FALSE
Alkaliphilus oremlandii,FALSE
Alkalitalea saponilacus,FALSE
Alloactinosynnema sp. L-07,FALSE
Allochromatium vinosum,FALSE
Allofrancisella frigidaquae,FALSE
Allofrancisella guangzhouensis,FALSE
Allofrancisella inopinata,FALSE
Alloiococcus otitis,FALSE
Allokutzneria albata,FALSE
Alloprevotella rava,TRUE
Alloprevotella sp. E39,FALSE
Alloprevotella tannerae,TRUE
Allopseudarcicella aquatilis,FALSE
Alloscardovia omnicolens,FALSE
Altererythrobacter amylolyticus,FALSE
Altererythrobacter atlanticus,FALSE
Altererythrobacter dongtanensis,FALSE
Altererythrobacter epoxidivorans,FALSE
Altererythrobacter ishigakiensis,FALSE
Altererythrobacter mangrovi,FALSE
Altererythrobacter marensis,FALSE
Altererythrobacter namhicola,FALSE
Altererythrobacter sp. B11,FALSE
Altererythrobacter sp. BO-6,FALSE
Altererythrobacter sp. TH136,FALSE
Altererythrobacter sp. ZODW24,FALSE
Alteromonas addita,FALSE
Alteromonas australica,FALSE
Alteromonas macleodii,FALSE
Alteromonas mediterranea,FALSE
Alteromonas naphthalenivorans,FALSE
Alteromonas pelagimontana,FALSE
Alteromonas sp. 76-1,FALSE
Alteromonas sp. BL110,FALSE
Alteromonas sp. Mac1,FALSE
Alteromonas sp. MB-3u-76,FALSE
Alteromonas sp. RKMC-009,FALSE
Alteromonas sp. RW2A1,FALSE
Alteromonas stellipolaris,FALSE
Altibacter sp. ALE3EI,FALSE
Alysiella filiformis,TRUE
Amedibacterium intestinale,FALSE
Aminipila butyrica,FALSE
Aminipila sp. CBA3637,FALSE
Aminipila sp. JN-18,FALSE
Aminobacter aminovorans,FALSE
Aminobacter sp. MDW-2,FALSE
Aminobacter sp. MSH1,FALSE
Aminobacter sp. SR38,FALSE
Aminobacterium colombiense,FALSE
Aminomonas paucivorans,FALSE
Ammonifex degensii,FALSE
Amniculibacterium sp. G2-70,FALSE
Amphibacillus xylanus,FALSE
Amycolatopsis albispora,FALSE
Amycolatopsis japonica,FALSE
Amycolatopsis keratiniphila,FALSE
Amycolatopsis mediterranei,FALSE
Amycolatopsis methanolica,FALSE
Amycolatopsis orientalis,FALSE
Amycolatopsis sp. AA4,FALSE
Amycolatopsis sp. BJA-103,FALSE
Amycolatopsis sp. Hca4,FALSE
Amycolatopsis sp. YIM 10,FALSE
Amylolactobacillus amylophilus,FALSE
Anabaena cylindrica,FALSE
Anabaena sp. 90,FALSE
Anabaena sp. WA102,FALSE
Anabaenopsis circularis,FALSE
Anaerobacillus isosaccharinicus,FALSE
Anaerobutyricum hallii,FALSE
Anaerococcus lactolyticus,FALSE
Anaerococcus mediterraneensis,FALSE
Anaerococcus octavius,FALSE
Anaerococcus prevotii,FALSE
Anaerococcus tetradius,FALSE
Anaerocolumna cellulosilytica,FALSE
Anaerocolumna sp. CBA3638,FALSE
Anaerocolumna sp. CTTW,FALSE
Anaeroglobus geminatus,FALSE
Anaerohalosphaera lusitana,FALSE
Anaerolinea sp. 'rifampicinis',FALSE
Anaerolinea thermophila,FALSE
Anaerolineaceae bacterium oral taxon 439,FALSE
Anaeromyxobacter dehalogenans,FALSE
Anaeromyxobacter sp. Fw109-5,FALSE
Anaeromyxobacter sp. K,FALSE
Anaerostipes caccae,FALSE
Anaerostipes hadrus,FALSE
Anaerostipes rhamnosivorans,FALSE
Anaerotignum propionicum,FALSE
Anaplasma centrale,FALSE
Anaplasma marginale,FALSE
Anaplasma ovis,FALSE
Anaplasma phagocytophilum,FALSE
Anaplasma platys,FALSE
Ancylobacter pratisalsi,FALSE
Ancylobacter sp. TS-1,FALSE
Aneurinibacillus soli,FALSE
Aneurinibacillus sp. XH2,FALSE
Anoxybacillus amylolyticus,FALSE
Anoxybacillus caldiproteolyticus,FALSE
Anoxybacillus flavithermus,FALSE
Anoxybacillus gonensis,FALSE
Anoxybacillus kamchatkensis,FALSE
Anoxybacillus sp. PDR2,FALSE
Anoxybacter fermentans,FALSE
Anseongella ginsenosidimutans,FALSE
Antarcticibacterium flavum,FALSE
Antarcticibacterium sp. PAMC 28998,FALSE
Antarctobacter heliothermus,FALSE
Apibacter raozihei,FALSE
Apibacter sp. B2966,FALSE
Apibacter sp. B3706,FALSE
Aquabacterium olei,FALSE
Aquaspirillum sp. LM1,FALSE
Aquicella lusitana,FALSE
Aquicella siphonis,FALSE
Aquifex aeolicus,FALSE
Aquiflexum balticum,FALSE
Aquimarina sp. AD1,FALSE
Aquimarina sp. AD10,FALSE
Aquimarina sp. BL5,FALSE
Aquimarina sp. TRL1,FALSE
Aquisphaera giovannonii,FALSE
Aquitalea denitrificans,FALSE
Aquitalea magnusonii,FALSE
Aquitalea sp. THG-DN7.12,FALSE
Aquitalea sp. USM4,FALSE
Arabia massiliensis,FALSE
Arachidicoccus ginsenosidivorans,FALSE
Arachidicoccus soli,FALSE
Arachidicoccus sp. B3-10,FALSE
Arachidicoccus sp. BS20,FALSE
Arcanobacterium haemolyticum,TRUE
Arcanobacterium phocae,FALSE
Arcanobacterium sp. 2701,FALSE
Arcanobacterium sp. JY-X040,FALSE
Archaeoglobus fulgidus,FALSE
Archaeoglobus sulfaticallidus,FALSE
Archaeoglobus veneficus,FALSE
Archangium gephyra,FALSE
Arcobacter anaerophilus,FALSE
Arcobacter aquimarinus,FALSE
Arcobacter butzleri,FALSE
Arcobacter cibarius,FALSE
Arcobacter cloacae,FALSE
Arcobacter cryaerophilus,FALSE
Arcobacter defluvii,FALSE
Arcobacter ellisii,FALSE
Arcobacter lanthieri,FALSE
Arcobacter nitrofigilis,FALSE
Arcobacter peruensis,FALSE
Arcobacter skirrowii,FALSE
Arcobacter suis,FALSE
Arcobacter thereius,FALSE
Arcobacter trophiarum,FALSE
Arcobacter venerupis,FALSE
Arcticibacterium luteifluviistationis,FALSE
Arenibacter algicola,FALSE
Arenimonas daejeonensis,FALSE
Aromatoleum aromaticum,FALSE
Arsenicicoccus sp. oral taxon 190,FALSE
Arsenophonus endosymbiont of Aleurodicus dispersus,FALSE
Arsenophonus endosymbiont of Aphis craccivora,FALSE
Arsenophonus nasoniae,FALSE
Arthrobacter agilis,FALSE
Arthrobacter alpinus,FALSE
Arthrobacter citreus,FALSE
Arthrobacter crystallopoietes,FALSE
Arthrobacter dokdonellae,FALSE
Arthrobacter sp. 24S4-2,FALSE
Arthrobacter sp. AQ5-05,FALSE
Arthrobacter sp. ERGS1,FALSE
Arthrobacter sp. FB24,FALSE
Arthrobacter sp. KBS0702,FALSE
Arthrobacter sp. NEB 688,FALSE
Arthrobacter sp. PAMC 25486,FALSE
Arthrobacter sp. PAMC25564,FALSE
Arthrobacter sp. PGP41,FALSE
Arthrobacter sp. QXT-31,FALSE
Arthrobacter sp. Rue61a,FALSE
Arthrobacter sp. TES,FALSE
Arthrobacter sp. U41,FALSE
Arthrobacter sp. UKPF54-2,FALSE
Arthrobacter sp. YC-RL1,FALSE
Arthrobacter sp. YN,FALSE
Arthrobacter sp. ZXY-2,FALSE
Arthrospira platensis,FALSE
Asaia bogorensis,FALSE
Aspergillus fumigatus,FALSE
Aspergillus oryzae,FALSE
Aster yellows witches'-broom phytoplasma,FALSE
Asticcacaulis excentricus,FALSE
Athalassotoga saccharophila,FALSE
Atlantibacter hermannii,FALSE
Atopobium minutum,FALSE
Atopobium sp. oral taxon 199,FALSE
Atopobium sp. oral taxon 810,FALSE
Aurantimicrobium minutum,FALSE
Aurantimicrobium sp. MWH-Mo1,FALSE
Aurantimicrobium sp. MWH-Uga1,FALSE
Auraticoccus monumenti,FALSE
Aureimonas altamirensis,FALSE
Aureimonas sp. AU20,FALSE
Aureimonas sp. LMG 31693,FALSE
Aureitalea sp. RR4-38,FALSE
Auricoccus indicus,FALSE
Auritidibacter sp. NML130574,FALSE
Austwickia chelonae,FALSE
Avibacterium paragallinarum,FALSE
Avibacterium volantium,FALSE
Azoarcus communis,FALSE
Azoarcus olearius,FALSE
Azoarcus pumilus,FALSE
Azoarcus sp. CIB,FALSE
Azoarcus sp. DD4,FALSE
Azoarcus sp. DN11,FALSE
Azoarcus sp. KH32C,FALSE
Azoarcus sp. M9-3-2,FALSE
Azorhizobium caulinodans,FALSE
Azospira sp. I09,FALSE
Azospirillum baldaniorum,FALSE
Azospirillum brasilense,FALSE
Azospirillum humicireducens,FALSE
Azospirillum lipoferum,FALSE
Azospirillum oryzae,FALSE
Azospirillum ramasamyi,FALSE
Azospirillum sp. TSA2s,FALSE
Azospirillum sp. TSH100,FALSE
Azospirillum sp. TSH58,FALSE
Azospirillum thermophilum,FALSE
Azospirillum thiophilum,FALSE
Azotobacter chroococcum,FALSE
Azotobacter salinestris,FALSE
Azotobacter vinelandii,FALSE
Bacillus albus,FALSE
Bacillus altitudinis,FALSE
Bacillus amyloliquefaciens,FALSE
Bacillus anthracis,FALSE
Bacillus atrophaeus,FALSE
Bacillus beveridgei,FALSE
Bacillus bombysepticus,FALSE
Bacillus cellulosilyticus,FALSE
Bacillus cereus,FALSE
Bacillus ciccensis,FALSE
Bacillus circulans,FALSE
Bacillus coagulans,FALSE
Bacillus cohnii,FALSE
Bacillus cytotoxicus,FALSE
Bacillus dafuensis,FALSE
Bacillus filamentosus,FALSE
Bacillus flexus,FALSE
Bacillus freudenreichii,FALSE
Bacillus glycinifermentans,FALSE
Bacillus gobiensis,FALSE
Bacillus halotolerans,FALSE
Bacillus haynesii,FALSE
Bacillus horikoshii,FALSE
Bacillus infantis,FALSE
Bacillus lentus,FALSE
Bacillus licheniformis,FALSE
Bacillus luti,FALSE
Bacillus marisflavi,FALSE
Bacillus megaterium,FALSE
Bacillus methanolicus,FALSE
Bacillus miscanthi,FALSE
Bacillus mobilis,FALSE
Bacillus mojavensis,FALSE
Bacillus mycoides,FALSE
Bacillus pacificus,FALSE
Bacillus paralicheniformis,FALSE
Bacillus paranthracis,FALSE
Bacillus pseudomycoides,FALSE
Bacillus pumilus,FALSE
Bacillus safensis,FALSE
Bacillus smithii,FALSE
Bacillus sonorensis,FALSE
Bacillus sp. 1NLA3E,FALSE
Bacillus sp. ABP14,FALSE
Bacillus sp. BD59S,FALSE
Bacillus sp. BS98,FALSE
Bacillus sp. Cs-700,FALSE
Bacillus sp. CS13,FALSE
Bacillus sp. DSL-17,FALSE
Bacillus sp. FDAARGOS_235,FALSE
Bacillus sp. FJAT-14266,FALSE
Bacillus sp. FJAT-18017,FALSE
Bacillus sp. FJAT-22090,FALSE
Bacillus sp. FJAT-42376,FALSE
Bacillus sp. FJAT-45348,FALSE
Bacillus sp. HD4P25,FALSE
Bacillus sp. JAS24-2,FALSE
Bacillus sp. KH172YL63,FALSE
Bacillus sp. Lzh-5,FALSE
Bacillus sp. M4U3P1,FALSE
Bacillus sp. ms-22,FALSE
Bacillus sp. N1-1,FALSE
Bacillus sp. N3536,FALSE
Bacillus sp. NSP9.1,FALSE
Bacillus sp. OxB-1,FALSE
Bacillus sp. PAMC26543,FALSE
Bacillus sp. PAMC26568,FALSE
Bacillus sp. S3,FALSE
Bacillus sp. SB49,FALSE
Bacillus sp. SJ-10,FALSE
Bacillus sp. SYJ,FALSE
Bacillus sp. THAF10,FALSE
Bacillus sp. WP8,FALSE
Bacillus sp. X1(2014),FALSE
Bacillus sp. Y1,FALSE
Bacillus sp. ZY-1-1,FALSE
Bacillus subtilis,FALSE
Bacillus tequilensis,FALSE
Bacillus thermoamylovorans,FALSE
Bacillus thuringiensis,FALSE
Bacillus toyonensis,FALSE
Bacillus tropicus,FALSE
Bacillus vallismortis,FALSE
Bacillus velezensis,FALSE
Bacillus vietnamensis,FALSE
Bacillus weihaiensis,FALSE
Bacillus wiedmannii,FALSE
Bacillus xiamenensis,FALSE
Bacterioplanes sanyensis,FALSE
Bacteriovorax stolpii,FALSE
Bacteroides caccae,FALSE
Bacteroides caecimuris,FALSE
Bacteroides cellulosilyticus,FALSE
Bacteroides coprosuis,FALSE
Bacteroides fragilis,TRUE
Bacteroides helcogenes,FALSE
Bacteroides heparinolyticus,TRUE
Bacteroides intestinalis,FALSE
Bacteroides ovatus,FALSE
Bacteroides pyogenes,TRUE
Bacteroides sp. A1C1,FALSE
Bacteroides sp. CACC 737,FALSE
Bacteroides sp. CBA7301,FALSE
Bacteroides sp. HF-162,FALSE
Bacteroides sp. HF-5141,FALSE
Bacteroides sp. HF-5287,FALSE
Bacteroides sp. M10,FALSE
Bacteroides thetaiotaomicron,FALSE
Bacteroides uniformis,FALSE
Bacteroides xylanisolvens,FALSE
Bacteroides zoogleoformans,TRUE
Bacteroidetes bacterium oral taxon 272,FALSE
Bacteroidetes oral taxon 274,TRUE
Baekduia soli,FALSE
Barnesiella viscericola,TRUE
Bartonella alsatica,FALSE
Bartonella ancashensis,FALSE
Bartonella apis,FALSE
Bartonella australis,FALSE
Bartonella bacilliformis,FALSE
Bartonella birtlesii,FALSE
Bartonella bovis,FALSE
Bartonella clarridgeiae,FALSE
Bartonella grahamii,FALSE
Bartonella henselae,FALSE
Bartonella kosoyi,FALSE
Bartonella krasnovii,FALSE
Bartonella quintana,FALSE
Bartonella schoenbuchensis,FALSE
Bartonella sp. 1-1C,FALSE
Bartonella sp. HY038,FALSE
Bartonella sp. WD16.2,FALSE
Bartonella tribocorum,FALSE
Bartonella vinsonii,FALSE
Basfia succiniciproducens,FALSE
Basilea psittacipulmonis,FALSE
Bathymodiolus septemdierum thioautotrophic gill symbiont,FALSE
Bathymodiolus thermophilus thioautotrophic gill symbiont,FALSE
Bdellovibrio bacteriovorus,FALSE
Bdellovibrio exovorus,FALSE
Bdellovibrio sp. KM01,FALSE
Bdellovibrio sp. NC01,FALSE
Bdellovibrio sp. ZAP7,FALSE
Beggiatoa leptomitoformis,FALSE
Beijerinckia indica,FALSE
Belliella baltica,FALSE
Bergeyella cardium,TRUE
Bermanella marisrubri,FALSE
Bernardetia litoralis,FALSE
Beutenbergia cavernae,FALSE
Bibersteinia trehalosi,FALSE
Bifidobacterium actinocoloniiforme,FALSE
Bifidobacterium adolescentis,FALSE
Bifidobacterium angulatum,FALSE
Bifidobacterium animalis,FALSE
Bifidobacterium asteroides,FALSE
Bifidobacterium bifidum,FALSE
Bifidobacterium breve,FALSE
Bifidobacterium catenulatum,FALSE
Bifidobacterium choerinum,FALSE
Bifidobacterium coryneforme,FALSE
Bifidobacterium dentium,FALSE
Bifidobacterium eulemuris,FALSE
Bifidobacterium indicum,FALSE
Bifidobacterium lemurum,FALSE
Bifidobacterium longum,FALSE
Bifidobacterium pseudocatenulatum,FALSE
Bifidobacterium pseudolongum,FALSE
Bifidobacterium pullorum,FALSE
Bifidobacterium scardovii,FALSE
Bifidobacterium subtile,FALSE
Bifidobacterium thermophilum,FALSE
Biomaibacter acetigenes,FALSE
Bisgaardia hudsonensis,FALSE
Blastochloris tepida,FALSE
Blastococcus saxobsidens,FALSE
Blastomonas fulva,FALSE
Blastomonas sp. RAC04,FALSE
Blattabacterium clevelandi,FALSE
Blattabacterium cuenoti,FALSE
Blattabacterium punctulatus,FALSE
